id,name,short_description,full_description,benefit_amount,eligibility_json,required_documents,application_link,helpline,issuing_body,category,last_verified,created_at
1,Ayushman Bharat PM-JAY,Health coverage up to Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization.,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY) is the largest health assurance scheme in the world. It provides a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 12 crore poor and vulnerable families.,Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": 250000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident"", ""maternal"", ""pediatric""], ""conditions"": []}","[""Aadhaar Card"", ""Ration Card"", ""Income Certificate"", ""PMJAY e-Card""]",https://pmjay.gov.in/,14555,National Health Authority,central,2026-04-25,2026-04-25 07:41:40
2,Central Government Health Scheme (CGHS),Comprehensive medical care to the Central Government employees and pensioners.,"The Central Government Health Scheme (CGHS) provides comprehensive medical care to the Central Government employees and pensioners enrolled under the scheme. It covers outpatient care, hospitalization, and supply of medicines.",Varies by pay scale,"{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": null, ""categories"": [""general"", ""cardiac"", ""cancer"", ""maternal"", ""pediatric""], ""conditions"": [""central government employee"", ""pensioner""]}","[""CGHS Card"", ""Aadhaar Card"", ""Pay Slip/Pension Payment Order""]",https://cghs.nic.in/,1800 208 8900,Ministry of Health & Family Welfare,central,2026-04-25,2026-04-25 07:41:40
3,Employees' State Insurance Scheme (ESIC),Social security and health insurance scheme for Indian workers.,"The Employees' State Insurance Scheme (ESIC) is an integrated measure of Social Insurance embodied in the Employees' State Insurance Act. It provides protection to employees against sickness, maternity, disablement and death due to employment injury.",Full coverage for employee & dependents,"{""min_age"": 18, ""max_age"": 60, ""states"": [], ""income_max"": 252000, ""categories"": [""general"", ""accident"", ""maternal""], ""conditions"": [""industrial worker"", ""employee""]}","[""ESIC Pehchan Card"", ""Aadhaar Card"", ""Employment Proof""]",https://www.esic.nic.in/,1800 11 2526,Employees' State Insurance Corporation,insurance,2026-04-25,2026-04-25 07:41:40
4,Rashtriya Arogya Nidhi (RAN),Financial assistance to patients living below poverty line suffering from major life-threatening diseases.,"RAN provides financial assistance to patients, living below poverty line and who are suffering from major life threatening diseases, to receive medical treatment at any of the super specialty Government hospitals / institutes.",Financial assistance for treatment,"{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": 100000, ""categories"": [""cancer"", ""cardiac"", ""kidney"", ""rare diseases""], ""conditions"": [""life-threatening disease"", ""BPL""]}","[""BPL Card"", ""Income Certificate"", ""Medical Reports"", ""Estimate from Govt Hospital""]",https://main.mohfw.gov.in/major-programmes/poor-patients-financial-assistance,011-23061695,Ministry of Health & Family Welfare,central,2026-04-25,2026-04-25 07:41:40
5,Health Minister's Discretionary Grant (HMDG),Financial assistance to the poor and needy patients to defray a part of the expenditure on hospitalization.,"Financial assistance up to a maximum of Rs. 1,25,000/- is provided to poor patients to defray a part of the expenditure on hospitalization/treatment in Government Hospitals for major diseases.","Up to ₹1,25,000","{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": 125000, ""categories"": [""general"", ""cardiac"", ""cancer""], ""conditions"": [""treatment in government hospital""]}","[""Income Certificate"", ""Medical Reports"", ""Estimate from Govt Hospital""]",https://main.mohfw.gov.in/,011-23061695,Ministry of Health & Family Welfare,central,2026-04-25,2026-04-25 07:41:40
6,Aarogyasri (Telangana),State health insurance for BPL families in Telangana.,Aarogyasri provides financial protection to families living below poverty line for the treatment of serious ailments requiring hospitalization and surgery. It covers pre-existing diseases and provides cashless treatment.,Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Telangana""], ""income_max"": 200000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident""], ""conditions"": [""white ration card""]}","[""White Ration Card"", ""Aadhaar Card"", ""Aarogyasri Health Card""]",https://aarogyasri.telangana.gov.in/,104,Aarogyasri Health Care Trust,state,2026-04-25,2026-04-25 07:41:40
7,Dr. YSR Aarogyasri (Andhra Pradesh),Health insurance scheme for BPL families in Andhra Pradesh.,Providing quality healthcare to the poor. The scheme provides financial assistance to BPL families to meet the catastrophic health needs.,Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Andhra Pradesh""], ""income_max"": 500000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident""], ""conditions"": [""rice card holder""]}","[""Rice Card"", ""Aadhaar Card"", ""Aarogyasri Card""]",https://www.ysraarogyasri.ap.gov.in/,104,Dr. YSR Aarogyasri Health Care Trust,state,2026-04-25,2026-04-25 07:41:40
8,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Health insurance for low-income families in Tamil Nadu.,The scheme provides quality health care to the eligible persons through empanelled Government and Private hospitals and to reduce the financial hardship to the enrolled families and move towards universal health coverage.,Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Tamil Nadu""], ""income_max"": 120000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident"", ""pediatric""], ""conditions"": []}","[""Income Certificate"", ""Family Card (Ration Card)"", ""Aadhaar Card""]",https://www.cmchistn.com/,104,Govt of Tamil Nadu,state,2026-04-25,2026-04-25 07:41:40
9,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),Cashless health insurance scheme for citizens of Maharashtra.,MJPJAY provides cashless quality medical care to beneficiaries for catastrophic illnesses requiring hospitalization for surgeries and therapies.,Up to ₹1.5 Lakh / year (₹2.5 Lakh for renal transplant),"{""min_age"": 0, ""max_age"": 120, ""states"": [""Maharashtra""], ""income_max"": 100000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident""], ""conditions"": []}","[""Yellow/Orange/Antyodaya Ration Card"", ""Aadhaar Card"", ""Health Card""]",https://www.jeevandayee.gov.in/,155388,State Health Assurance Society,state,2026-04-25,2026-04-25 07:41:40
10,Karunya Health Scheme,Financial assistance for the poor suffering from acute ailments in Kerala.,"The scheme provides financial assistance to poor people suffering from acute ailments like Cancer, Haemophilia, Kidney and Heart diseases and for Palliative Care.",Up to ₹2 Lakh,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Kerala""], ""income_max"": 300000, ""categories"": [""cancer"", ""cardiac"", ""kidney"", ""haemophilia"", ""palliative care""], ""conditions"": []}","[""Income Certificate"", ""Aadhaar Card"", ""Medical Reports"", ""Estimate from hospital""]",http://www.karunya.kerala.gov.in/,1056,Kerala State Lotteries / Govt of Kerala,state,2026-04-25,2026-04-25 07:41:40
